Currency Code,Buy Rate,Sell Rate,Cross Rate,Date Updated
820,,,,2024-05-22 12:19:32.027479+00:00
840,39.630000,39.990400,,2024-05-22 12:30:24.072699+00:00
978,1.080000,1.091000,,2024-05-22 12:30:24.087636+00:00
826,,,50.860900,2024-05-22 12:30:24.090838+00:00
392,,,0.257200,2024-05-22 12:30:24.094319+00:00
756,,,44.049100,2024-05-22 12:30:24.097934+00:00
156,,,5.529100,2024-05-22 12:30:24.101302+00:00
784,,,10.886800,2024-05-22 12:30:24.104832+00:00
971,,,0.541700,2024-05-22 12:30:24.108162+00:00
8,,,0.433800,2024-05-22 12:30:24.111279+00:00
51,,,0.103500,2024-05-22 12:30:24.114641+00:00
973,,,0.047000,2024-05-22 12:30:24.117840+00:00
32,,,0.038700,2024-05-22 12:30:24.121642+00:00
36,,,26.833900,2024-05-22 12:30:24.124526+00:00
944,,,23.516700,2024-05-22 12:30:24.128527+00:00
50,,,0.342600,2024-05-22 12:30:24.131442+00:00
975,,,22.240800,2024-05-22 12:30:24.135090+00:00
48,,,106.291500,2024-05-22 12:30:24.138987+00:00
108,,,0.014000,2024-05-22 12:30:24.142806+00:00
124,,,29.439300,2024-05-22 12:30:24.164515+00:00
976,,,0.014100,2024-05-22 12:30:24.167551+00:00
324,,,0.004600,2024-05-22 12:30:24.219361+00:00
344,,,5.128400,2024-05-22 12:30:24.222784+00:00
191,,,5.425800,2024-05-22 12:30:24.225983+00:00
398,,,0.090200,2024-05-22 12:30:24.269292+00:00
418,,,0.001800,2024-05-22 12:30:24.272102+00:00
422,,,0.000400,2024-05-22 12:30:24.275296+00:00
144,,,0.133500,2024-05-22 12:30:24.278678+00:00
434,,,8.000800,2024-05-22 12:30:24.282191+00:00
504,,,4.033300,2024-05-22 12:30:24.285487+00:00
498,,,2.272800,2024-05-22 12:30:24.288468+00:00
969,,,0.009000,2024-05-22 12:30:24.292007+00:00
807,,,0.706300,2024-05-22 12:30:24.296152+00:00
496,,,0.011700,2024-05-22 12:30:24.299839+00:00
480,,,0.864300,2024-05-22 12:30:24.302788+00:00
454,,,0.036800,2024-05-22 12:30:24.305729+00:00
484,,,2.413400,2024-05-22 12:30:24.308688+00:00
458,,,8.545500,2024-05-22 12:30:24.311822+00:00
943,,,0.626800,2024-05-22 12:30:24.314829+00:00
516,,,2.208600,2024-05-22 12:30:24.323051+00:00
566,,,0.026600,2024-05-22 12:30:24.333051+00:00
558,,,1.091400,2024-05-22 12:30:24.339657+00:00
578,,,3.758000,2024-05-22 12:30:24.345619+00:00
524,,,0.300000,2024-05-22 12:30:24.350330+00:00
554,,,24.558200,2024-05-22 12:30:24.354145+00:00
512,,,103.950000,2024-05-22 12:30:24.357476+00:00
604,,,10.722700,2024-05-22 12:30:24.360822+00:00
608,,,0.691000,2024-05-22 12:30:24.363960+00:00
586,,,0.143700,2024-05-22 12:30:24.367131+00:00
985,,,10.229300,2024-05-22 12:30:24.370434+00:00
600,,,0.005300,2024-05-22 12:30:24.373587+00:00
634,,,10.984200,2024-05-22 12:30:24.377010+00:00
946,,,8.778700,2024-05-22 12:30:24.380427+00:00
941,,,0.371300,2024-05-22 12:30:24.383638+00:00
682,,,10.658500,2024-05-22 12:30:24.387225+00:00
690,,,2.827800,2024-05-22 12:30:24.390392+00:00
938,,,0.062700,2024-05-22 12:30:24.393362+00:00
752,,,3.748100,2024-05-22 12:30:24.396662+00:00
702,,,29.723100,2024-05-22 12:30:24.400445+00:00
694,,,0.002400,2024-05-22 12:30:24.403850+00:00
706,,,0.065900,2024-05-22 12:30:24.409644+00:00
968,,,1.127500,2024-05-22 12:30:24.419282+00:00
748,,,2.039100,2024-05-22 12:30:24.429184+00:00
